"CONTEXT", "ID", "TEXT"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Licença de Entrada"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Esta licença concede acesso restrito à nação soberana da Arstotzka"
"AccessPermitInner","NAME","NOME"
"AccessPermitInner","NATIONALITY","NACIONALIDADE"
"AccessPermitInner","PURPOSE","PROPÓSITO"
"AccessPermitInner","HEIGHT","ALTURA"
"AccessPermitInner","PHYSICAL APPEARANCE","APARÊNCIA FÍSICA"
"AccessPermitInner","ID NUMBER","IDENTIDADE"
"AccessPermitInner","DURATION","ESTADIA"
"AccessPermitInner","WEIGHT","PESO"
"AccessPermitInner","ENTER BY","VÁLIDO ATÉ"
"AccessPermitInner","Keep on person","Tenha à Mão"
"AccessPermitInner","Ministry of Admission","Ministério da Admissão"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","GARANTIA de ASILO"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Este documento concede asilo condicional dentro das fronteiras Arstotzkanas"
"AsylumGrantInner","NAT","NAC."
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","NASC"
"AsylumGrantInner","HT","ALT."
"AsylumGrantInner","WT","PES."
"AsylumGrantInner","Offer expires after","Oferta válida até"
"AsylumGrantInner","Ministry of Admission","Ministério da Admissão"
"BizCardInnerFront","ENGINEERING","ENGENHARIA"
"BizCardInnerFront","Director","Diretor"
"BizCardInnerBack","WE NEED ENGINEERS","É UM ENGENHEIRO?"
"BizCardInnerBack","WILL BEAT .GOV PAY","PAGO MAIS QUE O GOV."
"BizCardInnerBack","CONTACT NOW","LIGUE AGORA"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","Um homem chamado <span>Dari Ludum</span> prometeu à mim e minha irmã bom trabalho em Arstotzka."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Não confio nele. Temo que tomará minha passaporte e forçará trabalho em bordel. Ele está em fila hoje."
"BrothelHelpInner","Please do something.","Por favor, faça algo."
"BulletinInnerDiploTut","Diplomat","Diplomata"
"BulletinInnerDiploTut","Verification Procedure","Procedimento de Verificação"
"BulletinInnerDiploTut","Verify issuing country","Verificar país de origem"
"BulletinInnerDiploTut","Verify identity","Verificar Identidade"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Verificar se possui acesso diplomático à Arstotzka"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Para acusar documentos pendentes, aponte o balcão e a regra em questão no livro de regras."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Correlacione a informação inválida com a regra adequada no livro para habilitar mais opções."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Correlacione armas ou contrabandos descobertos com a regra em questão no livro de regras."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Selecione duas informações discrepantes no modo INSPEÇÃO para habilitar o questionamento."
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Toque e arraste para tornar mais específica sua seleção."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Fique atento à nacionalidade no passaporte."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Ministério da Admissão"
"BulletinInnerBoothTut","Inspector's Booth","Cabine do Inspetor"
"BulletinInnerBoothTut","Shutter","Grade"
"BulletinInnerBoothTut","Counter","Balcão"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Livro de Regras<br>Áudio Transcrito<br>Boletim<br>Data &amp; Hora"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Ministério da Admissão"
"BulletinInnerBoothTut2","Inspector's Booth","Cabine do Inspetor"
"BulletinInnerBoothTut2","Shutter","Grade"
